Country,"Unemployment
rate (%)","Source/date of
information"
 Afghanistan*,11.2,[4] June 2020
 Albania*,11.3,[5] Q3 2021
 Algeria*,11.5,[4] 2020
 American Samoa*,18.0,[6] 2012
 Andorra*,3.7,[7] 2016
 Angola*,6.8,[4] 2020
 Anguilla*,7.8,[8] July 2013
 Antigua and Barbuda*,11.0,[7] 2014
 Argentina*,7.0,[9] Q4 2021
 Armenia*,17.5,[10] Q2 2020
 Aruba*,7.7,[11] 2016
 Australia*,7.1,[12] May 2020
 Austria*,5.7,[13] January 2021
 Azerbaijan*,6.0,[4] 2020
 Bahamas*,11.3,[4] 2020
 Bahrain*,0.8,[4] 2020
 Bangladesh*,4.2[a],[4] 2020
 Barbados*,10.9,[4] 2020
 Belarus*,4.6,[4] 2020
 Belgium*,5.3,[13] April 2021
 Belize*,6.4,[4] 2020
 Benin*,2.0,[4] 2020
 Bermuda*,7.0,[7] 2017
 Bhutan*,2.4,[4] 2020
 Bolivia*,3.5,[4] 2020
 Bosnia and Herzegovina*,18.4,[4] 2020
 Botswana*,18.7,[4] 2020
 Brazil*,11.1,[14] Q4 2021
 British Virgin Islands*,2.9,[7] 2015
 Brunei*,9.0,[4] 2020
 Bulgaria*,4.7,[13] April 2021
 Burkina Faso*,6.4,[4] 2020
 Burundi*,1.4,[4] 2020
 Cambodia*,0.7[b],[4] 2020
 Cameroon*,3.4,[4] 2020
 Canada*,6.9,[16] September 2021
 Cape Verde*,12.3,[4] 2020
 Cayman Islands*,3.5,[17] 2019
 Central African Republic*,3.7,[4] 2020
 Chad*,1.9,[4] 2020
 Chile*,10.4,[18] Q1 2021
 China*,5.3,[19] Q3 2020
 Cocos (Keeling) Islands*,6.7,[20] 2011
 Colombia*,14.2,[21] March 2021
 Comoros*,4.4,[4] 2020
 Congo*,9.3,[4] 2020
 DR Congo*,30.3,[4] 2020
 Cook Islands*,13.1,[7] 2005
 Costa Rica*,22.0,[22] Q3 2020
 Croatia*,7.5,[13] April 2021
 Cuba*,1.6,[4] 2020
 Cyprus*,9.4,[13] April 2021
 Czech Republic*,3.4,[13] April 2021
 Denmark*,5.7,[13] April 2021
 Djibouti*,10.3,[4] 2020
 Dominica*,23.0,[23] 2016
 Dominican Republic*,5.9,[4] 2020
 East Timor*,4.6,[4] 2020
 Ecuador*,4.9,[24] Q4 2019
 Egypt*,5.7,[25] 2020
 El Salvador*,4.2,[4] 2020
 Equatorial Guinea*,6.5,[4] 2020
 Eritrea*,5.2,[4] 2020
 Estonia*,6.8,[13] April 2021
 Eswatini*,22.0,[4] 2020
 Ethiopia*,2.1,[4] 2020
 EU*,7.3,[13] January 2021
 Faroe Islands*,1.5,[26] January 2021
 Fiji*,4.1,[4] 2020
 Finland*,8.4,[13] December 2020
 France*,7.3,[13] April 2021
 French Polynesia*,11.9,[4] 2020
 Gabon*,20.1,[4] 2020
 Gambia*,9.1,[4] 2020
 Georgia*,20.4,[27] Q4 2020
 Germany*,5.4,[28] February 2022
 Ghana*,4.5,[4] 2020
 Gibraltar*,1.0,[29] 2016
 Greece*,12.9,[13] October 2021
